Source,Period,Validation rule,Importance,Left side description,Value,Operator,Value,Right side description
Bauya (Kongbora) CHC,September 2020,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 18 Tabs - Quantity Dispensed (D) Validation",Medium,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 18 Tabs - Quantity Dispensed (D)",10.0,<=,0.0,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 18 Tabs - Opening Balance (A) + LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 18 Tabs - Quantity Received (B) + LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 18 Tabs - Losses / Adjus"
Bauya (Kongbora) CHC,September 2020,"LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial  - Quantity Dispensed (D)",10.0,<=,0.0,"LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial - Opening Balance (A) + LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial  - Quantity Received (B) + LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial - Losses / Adjustments (C)"
Bauya (Kongbora) CHC,September 2020,"LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Dispensed (D)",20.0,<=,0.0,"LMIS_EM&CONS Methyldopa 250mg, Tab - Opening Balance (A) + LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Methyldopa 250mg, Tab - Losses / Adjustments (C)"
Bauya (Kongbora) CHC,September 2020,LMIS_MAL Malaria Rapid Diagnostic Test Kit - Quantity Dispensed (D) Validation,Medium,LMIS_MAL Malaria Rapid Diagnostic Test Kit - Quantity Dispensed (D),20.0,<=,0.0,LMIS_MAL Malaria Rapid Diagnostic Test Kit - Opening Balance (A) + LMIS_MAL Malaria Rapid Diagnostic Test Kit - Quantity Received (B) + LMIS_MAL Malaria Rapid Diagnostic Test Kit - Losses / Adjustments (C)
Bauya (Kongbora) CHC,September 2020,"LMIS_EM&CONS Folic Acid 5mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Folic Acid 5mg, Tab  - Quantity Dispensed (D)",100.0,<=,0.0,"LMIS_EM&CONS Folic Acid 5mg, Tab - Opening Balance (A) + LMIS_EM&CONS Folic Acid 5mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Folic Acid 5mg, Tab - Losses / Adjustments (C)"
Belletin CHP,September 2020,LMIS_REP_H Jadelle - Levonorgestrel two rod 150mg implant - Quantity Dispensed (D) Validation,Medium,LMIS_REP_H Jadelle - Levonorgestrel two rod 150mg implant - Quantity Dispensed (D),5.0,<=,0.0,LMIS_REP_H Jadelle - Levonorgestrel two rod 150mg implant - Opening Balance (A) + LMIS_REP_H Jadelle - Levonorgestrel two rod 150mg implant - Quantity Received (B) + LMIS_REP_H Jadelle - Levonorgestrel two rod 150mg implant - Losses / Adjustments (C)
Belletin CHP,September 2020,"LMIS_EM&CONS Surgical Spirit 98%, Solution  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Surgical Spirit 98%, Solution  - Quantity Dispensed (D)",1.0,<=,0.0,"LMIS_EM&CONS Surgical Spirit 98%, Solution - Opening Balance (A) + LMIS_EM&CONS Surgical Spirit 98%, Solution  - Quantity Received (B) + LMIS_EM&CONS Surgical Spirit 98%, Solution - Losses / Adjustments (C)"
Bendu (Kowa) MCHP,September 2020,LMIS_REP_H Levoplant - Levonorgestrel two rod 150mg implant - Quantity Dispensed (D) Validation,Medium,LMIS_REP_H Levoplant - Levonorgestrel two rod 150mg implant - Quantity Dispensed (D),27.0,<=,0.0,LMIS_REP_H Levoplant - Levonorgestrel two rod 150mg implant - Opening Balance (A) + LMIS_REP_H Levoplant - Levonorgestrel two rod 150mg implant - Quantity Received (B) + LMIS_REP_H Levoplant - Levonorgestrel two rod 150mg implant - Losses / Adjustments (C
Bendu (Kowa) MCHP,September 2020,"LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Dispensed (D)",10.0,<=,0.0,"LMIS_EM&CONS Methyldopa 250mg, Tab - Opening Balance (A) + LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Methyldopa 250mg, Tab - Losses / Adjustments (C)"
Benkeh MCHP,September 2020,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 6 Tabs - Quantity Dispensed (D) Validation",Medium,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 6 Tabs - Quantity Dispensed (D)",20.0,<=,0.0,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 6 Tabs - Opening Balance (A) + LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 6 Tabs - Quantity Received (B) + LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 6 Tabs - Losses / Adjustme"
Benkeh MCHP,September 2020,"Vitamin A 200,000 IU (Red), Cap - Quantity Dispensed (D) Validation",Medium,"Vitamin A 200,000 IU (Red), Cap - Quantity Dispensed (D)",19.0,<=,0.0,"Vitamin A 200,000 IU (Red), Cap - Opening Balance (A) + Vitamin A 200,000 IU (Red), Cap - Quantity Received (B) + Vitamin A 200,000 IU (Red), Cap - Losses / Adjustments (C)"
Benkeh MCHP,September 2020,"Vitamin A 100,000 IU (Blue), Caps - Quantity Dispensed (D) Validation",Medium,"Vitamin A 100,000 IU (Blue), Caps - Quantity Dispensed (D)",20.0,<=,0.0,"Vitamin A 100,000 IU (Blue), Caps - Opening Balance (A) + Vitamin A 100,000 IU (Blue), Caps - Quantity Received (B) + Vitamin A 100,000 IU (Blue), Caps - Losses / Adjustments (C)"
Benkeh MCHP,September 2020,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 24 Tabs - Quantity Dispensed (D) Validation",Medium,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 24 Tabs - Quantity Dispensed (D)",20.0,<=,0.0,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 24 Tabs - Opening Balance (A) + LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 24 Tabs - Quantity Received (B) + LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 24 Tabs - Losses / Adjus"
Benkeh MCHP,September 2020,"LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Dispensed (D)",63.0,<=,0.0,"LMIS_EM&CONS Methyldopa 250mg, Tab - Opening Balance (A) + LMIS_EM&CONS Methyldopa 250mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Methyldopa 250mg, Tab - Losses / Adjustments (C)"
Benkeh MCHP,September 2020,"LMIS_HIV/AIDS Abacavir & Lamivudine 600mg & 300mg, Tab - Quantity Dispensed (D)  Validation",Medium,"LMIS_HIV/AIDS Abacavir & Lamivudine 600mg & 300mg, Tab  - Quantity Dispensed (D)",10.0,<=,0.0,"LMIS_HIV/AIDS Abacavir & Lamivudine 600mg & 300mg, Tab - Opening Balance (A) + LMIS_HIV/AIDS Abacavir & Lamivudine 600mg & 300mg, Tab  - Quantity Received (B) + LMIS_HIV/AIDS Abacavir & Lamivudine 600mg & 300mg, Tab - Losses / Adjustments (C)"
Bomotoke CHC,September 2020,"LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial  - Quantity Dispensed (D)",20.0,<=,0.0,"LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial - Opening Balance (A) + LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial  - Quantity Received (B) + LMIS_EM&CONS Ampicillin 500mg, Pdr for IM/IV, Inj, Vial - Losses / Adjustments (C)"
Bradford CHC,September 2020,"LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag  - Quantity Dispensed (D)",3.0,<=,0.0,"LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag - Opening Balance (A) + LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag  - Quantity Received (B) + LMIS_EM&CONS Compound Sodium (Ringer's) La"
Bradford CHC,September 2020,"LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs  - Quantity Dispensed (D)",100.0,<=,0.0,"LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs - Opening Balance (A) + LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs  - Quantity Received (B) + LMIS_EM&CONS Glove, Exam, Latex, Medium, Nonsterile, Disposable, P"
Bradford CHC,September 2020,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Dispensed (D)",190.0,<=,0.0,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab - Opening Balance (A) + LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg"
Bradford CHC,September 2020,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Dispensed (D)",120.0,<=,0.0,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab - Opening Balance (A) + LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazol"
Bradford CHC,September 2020,"LMIS_EM&CONS Glucose (Dextrose) 5%, IV Inj, 500ml, Soft Bag  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Glucose (Dextrose) 5%, IV Inj, 500ml, Soft Bag  - Quantity Dispensed (D)",9.0,<=,0.0,"LMIS_EM&CONS Glucose (Dextrose) 5%, IV Inj, 500ml, Soft Bag - Opening Balance (A) + LMIS_EM&CONS Glucose (Dextrose) 5%, IV Inj, 500ml, Soft Bag  - Quantity Received (B) + LMIS_EM&CONS Glucose (Dextrose) 5%, IV Inj, 500ml, Soft Bag - Losses / Adjustments ("
Bradford CHC,September 2020,"LMIS_EM&CONS Cotton Wool, Absorbent, 500g, Roll  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Cotton Wool, Absorbent, 500g, Roll  - Quantity Dispensed (D)",9.0,<=,0.0,"LMIS_EM&CONS Cotton Wool, Absorbent, 500g, Roll - Opening Balance (A) + LMIS_EM&CONS Cotton Wool, Absorbent, 500g, Roll  - Quantity Received (B) + LMIS_EM&CONS Cotton Wool, Absorbent, 500g, Roll - Losses / Adjustments (C)"
Bradford CHC,September 2020,"LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet  - Quantity Dispensed (D)",100.0,<=,0.0,"LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet - Opening Balance (A) + LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet  - Quantity Received (B) + LMIS_EM&CONS Oral Rehydration Salts (ORS), Sachet - Losses / Adjustments (C)"
Bradford CHC,September 2020,"LMIS_EM&CONS Folic Acid 5mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Folic Acid 5mg, Tab  - Quantity Dispensed (D)",300.0,<=,0.0,"LMIS_EM&CONS Folic Acid 5mg, Tab - Opening Balance (A) + LMIS_EM&CONS Folic Acid 5mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Folic Acid 5mg, Tab - Losses / Adjustments (C)"
Bumpeh River CHP,September 2020,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Dispensed (D)",10.0,<=,0.0,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp - Opening Balance (A) + LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Received (B) + LMIS_EM&CONS Oxytocin 10IU, Inj, Amp - Losses / Adjustments (C)"
Bumpeh River CHP,September 2020,"LMIS_EM&CONS Ibuprofen 400mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Ibuprofen 400mg, Tab  - Quantity Dispensed (D)",300.0,<=,0.0,"LMIS_EM&CONS Ibuprofen 400mg, Tab - Opening Balance (A) + LMIS_EM&CONS Ibuprofen 400mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Ibuprofen 400mg, Tab - Losses / Adjustments (C)"
Bumpetoke (Kargboro) CHP,September 2020,"LMIS_REP_H Condom, Male - Quantity Dispensed (D) Validation",Medium,"LMIS_REP_H Condom, Male - Quantity Dispensed (D)",7.0,<=,0.0,"LMIS_REP_H Condom, Male - Opening Balance (A) + LMIS_REP_H Condom, Male - Quantity Received (B) + LMIS_REP_H Condom, Male - Losses / Adjustments (C)"
Falaba MCHP,September 2020,"LMIS_REP_H Condom, Male - Quantity Dispensed (D) Validation",Medium,"LMIS_REP_H Condom, Male - Quantity Dispensed (D)",160.0,<=,0.0,"LMIS_REP_H Condom, Male - Opening Balance (A) + LMIS_REP_H Condom, Male - Quantity Received (B) + LMIS_REP_H Condom, Male - Losses / Adjustments (C)"
Falaba MCHP,September 2020,"LMIS_REP_H Ethinylestradiol & Levonorgestrel (Microgynon 30) 30mcg & 150mcg, Tab, Cycle - Quantity Dispensed (D) Validation",Medium,"LMIS_REP_H Ethinylestradiol & Levonorgestrel (Microgynon 30) 30mcg & 150mcg, Tab, Cycle - Quantity Dispensed (D)",6.0,<=,0.0,"LMIS_REP_H Ethinylestradiol & Levonorgestrel (Microgynon 30) 30mcg & 150mcg, Tab, Cycle - Opening Balance (A) + LMIS_REP_H Ethinylestradiol & Levonorgestrel (Microgynon 30) 30mcg & 150mcg, Tab, Cycle - Quantity Received (B) + LMIS_REP_H Ethinylestradiol &"
Falaba MCHP,September 2020,"LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag  - Quantity Dispensed (D)",5.0,<=,0.0,"LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag - Opening Balance (A) + LMIS_EM&CONS Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag  - Quantity Received (B) + LMIS_EM&CONS Compound Sodium (Ringer's) La"
Falaba MCHP,September 2020,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Dispensed (D)",6.0,<=,0.0,"LMIS_EM&CONS Oxytocin 10IU, Inj, Amp - Opening Balance (A) + LMIS_EM&CONS Oxytocin 10IU, Inj, Amp  - Quantity Received (B) + LMIS_EM&CONS Oxytocin 10IU, Inj, Amp - Losses / Adjustments (C)"
Falaba MCHP,September 2020,"LMIS_EM&CONS Chlorhexidine Gluconate 7.1%, Gel  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Chlorhexidine Gluconate 7.1%, Gel  - Quantity Dispensed (D)",5.0,<=,0.0,"LMIS_EM&CONS Chlorhexidine Gluconate 7.1%, Gel - Opening Balance (A) + LMIS_EM&CONS Chlorhexidine Gluconate 7.1%, Gel  - Quantity Received (B) + LMIS_EM&CONS Chlorhexidine Gluconate 7.1%, Gel - Losses / Adjustments (C)"
Falaba MCHP,September 2020,"LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab  - Quantity Dispensed (D)",150.0,<=,0.0,"LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab - Opening Balance (A) + LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Paracetamol (Acetaminophen) 500mg, Tab - Losses / Adjustments (C)"
Falaba MCHP,September 2020,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Dispensed (D)",950.0,<=,0.0,"LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab - Opening Balance (A) + LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg"
Falaba MCHP,September 2020,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 12 Tabs - Quantity Dispensed (D) Validation",Medium,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 12 Tabs - Quantity Dispensed (D)",15.0,<=,3.0,"LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 12 Tabs - Opening Balance (A) + LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 12 Tabs - Quantity Received (B) + LMIS_MAL Artemether & Lumefantrine (ACT) 20mg & 120mg, 12 Tabs - Losses / Adjus"
Falaba MCHP,September 2020,"LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Dispensed (D)",350.0,<=,0.0,"LMIS_EM&CONS Metronidazole 250mg, Tab - Opening Balance (A) + LMIS_EM&CONS Metronidazole 250mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Metronidazole 250mg, Tab - Losses / Adjustments (C)"
Falaba MCHP,September 2020,LMIS_REP_H Jadelle - Levonorgestrel two rod 150mg implant - Quantity Dispensed (D) Validation,Medium,LMIS_REP_H Jadelle - Levonorgestrel two rod 150mg implant - Quantity Dispensed (D),6.0,<=,0.0,LMIS_REP_H Jadelle - Levonorgestrel two rod 150mg implant - Opening Balance (A) + LMIS_REP_H Jadelle - Levonorgestrel two rod 150mg implant - Quantity Received (B) + LMIS_REP_H Jadelle - Levonorgestrel two rod 150mg implant - Losses / Adjustments (C)
Falaba MCHP,September 2020,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Dispensed (D)",30.0,<=,0.0,"LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab - Opening Balance (A) + LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab  - Quantity Received (B) + LMIS_EM&CONS Co-Trimoxazole (Sulfamethoxazol"
Falaba MCHP,September 2020,"LMIS_REP_H Depot Medroxyprogestrone Acetate (Depo-Provera) 150mg/ml, Pdr for Inj - Quantity Dispensed (D) Validation",Medium,"LMIS_REP_H Depot Medroxyprogestrone Acetate (Depo-Provera) 150mg/ml, Pdr for Inj - Quantity Dispensed (D)",9.0,<=,0.0,"LMIS_REP_H Depot Medroxyprogestrone Acetate (Depo-Provera) 150mg/ml, Pdr for Inj - Opening Balance (A) + LMIS_REP_H Depot Medroxyprogestrone Acetate (Depo-Provera) 150mg/ml, Pdr for Inj - Quantity Received (B) + LMIS_REP_H Depot Medroxyprogestrone Acetate"
Falaba MCHP,September 2020,"LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab  - Quantity Dispensed (D) Validation",Medium,"LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab  - Quantity Dispensed (D)",80.0,<=,0.0,"LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab - Opening Balance (A) + LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab  - Quantity Received (B) + LMIS_EM&CONS Paracetamol (Acetaminophen) 250mg, Dispersible, Tab - Losses"
